store,name,sales,price
苏宁易购官方旗舰店,Apple/苹果iPhone11Pro,2585,8699
华为官方旗舰店,Huawei/华为nova5iPro,5500,1599
小米官方旗舰店,红米note84800,20000,899
小米官方旗舰店,红米k20pro,1204,2799
oppo官方旗舰店,OPPORenoAce,453,3799
oppo官方旗舰店,OPPOK5,301,2499
博盛景数码专营店,Apple/苹果iPhone11ProMax,94,8758
红红豆豆200988,Apple/苹果iPhoneXSMax,4148,3588
oksj数码旗舰店,Huawei/华为P30Pro,226,3388
wywy12332122,Apple/苹果iPhoneXR,923,3500
博海宇通数码专营店,Huawei/华为nova4e,1331,1088
中国电信官方旗舰店,Apple/苹果iPhone11ProMax,14,8849
京合旗舰店,honor/荣耀20,89,2299
乐申商城,红米6a4A5A3S,593,208
京合旗舰店,honor/荣耀20,89,2299
icmay2012,Apple/苹果iPhone11ProMax,631,3499
魅族官方旗舰店,Meizu/魅族Note9,1338,1049
一加创华威专卖店,一加7tPro,353,4599
wywy12332122,Apple/苹果iPhoneXR,923,3500
碧丽丝轩衣阁,Apple/苹果iPhone11,263,3356
heatlinda,红米k30pro,3848,1438
南涛科技,Apple/苹果iPhoneX,1090,3445
轻松换数码旗舰店,Apple/苹果iPhoneXR,130,4268
zhimingyouhuo4,Apple/苹果iPhone8Plus,5500,1388
oppo平实专卖店,OPPOK5oppok5,476,1799
tao88108813,Apple/苹果iPhoneX,3968,3550
晨曦爱森林浴,Apple/苹果iPhone7Plus,8000,1650
kee123,Apple/苹果iPhone8Plus,3140,1979
zhuxiaoming1113,Apple/苹果iPhone11,308,3663
锴诚有限公司,Apple/苹果iPhoneXRiphonexr,1846,2682
oppo平实专卖店,OPPO5G,72,3399
vivo官方旗舰店,vivoiQOO,1432,2098
vivo官方旗舰店,vivoZ5,694,1398
苏宁易购官方旗舰店,honor/荣耀Magic2,1046,1799
苏宁易购官方旗舰店,红米,1445,2599
华为官方旗舰店,Huawei/华为畅享10Plus,20000,1299
华为官方旗舰店,Huawei/华为Mate20Pro,1208,4599
小米官方旗舰店,红米k30,683,1699
小米官方旗舰店,红米note8pro6400,2449,1199
三际数码官方旗舰店,OPPOReno3opporeno35g,235,3399
三际数码官方旗舰店,Huawei/华为nova65G,204,3199
中国移动官方旗舰店,Huawei/华为Mate20Pro,276,2699
oppo官方旗舰店,OPPOA8,574,1199
oppo官方旗舰店,OPPORenoZ,344,2199
一加创华威专卖店,一加7Pro,1781,3499
京合旗舰店,Huawei/华为P30,212,3388
锴诚有限公司,Apple/苹果iPhoneXRiphonexr,1846,2682
520方晓勇,Apple/苹果iPhone8Plus,289,2380
oppo平实专卖店,OPPO5G,72,3399
启泰数码,Apple/苹果iPhoneXSMax,695,3073
博盛景数码专营店,Apple/苹果iPhone114G,44,5699
京合旗舰店,Huawei/华为nova5z,649,1499
oksj数码旗舰店,honor/荣耀V20,470,1749
