store,name,sales,price
vivo耀诚鑫专卖店,vivoiQOOPro5G 256G,119,3698
vivo官方旗舰店,vivoiQOONeo 64G,958,1998
vivo官方旗舰店,vivoiQOONeo 64G,0,1998
vivo官方旗舰店,vivoiQOONeo 64G,893,1998
vivo官方旗舰店,vivoiQOONeo 64G,698,1998
vivo官方旗舰店,vivoiQOONeo 128G,671,1998
vivo官方旗舰店,vivoiQOONeo 128G,42,1998
vivo官方旗舰店,vivoiQOONeo 128G,530,1998
vivo官方旗舰店,vivoiQOONeo 128G,1623,1998
vivo官方旗舰店,vivoiQOONeo 128G,660,2298
vivo官方旗舰店,vivoiQOONeo 128G,29,2298
vivo官方旗舰店,vivoiQOONeo 128G,574,2298
vivo官方旗舰店,vivoiQOONeo 128G,1668,2298
vivo官方旗舰店,vivoiQOONeo 256G,42,2598
vivo官方旗舰店,vivoiQOONeo 256G,0,2598
vivo官方旗舰店,vivoiQOONeo 256G,199,2598
,荣耀畅玩7 16G,118970,599
,荣耀畅玩7 16G,263607,599
vivo官方旗舰店,vivoiQOONeo 256G,47,2598
,荣耀畅玩7 16G,137294,599
,荣耀畅玩7 32G,1184,599
,荣耀畅玩7 32G,1265,599
,荣耀畅玩7 32G,1548,599
淘金手机专营店,红米K20pro 128G,0,2799
淘金手机专营店,红米K20pro 128G,3,2399
淘金手机专营店,红米K20pro 128G,4,2399
淘金手机专营店,红米K20pro 128G,10,2799
淘金手机专营店,红米K20pro 512G,0,3199
淘金手机专营店,红米K20pro 512G,3,2568
淘金手机专营店,红米K20pro 512G,7,2528
淘金手机专营店,红米K20pro 128G,22,2399
淘金手机专营店,红米K20pro 512G,9,2558
淘金手机专营店,红米K20pro 512G,67,2888
淘金手机专营店,红米K20pro 512G,59,2698
淘金手机专营店,红米K20pro 512G,39,2728
淘金手机专营店,红米K20pro 512G,27,2558
淘金手机专营店,红米K20pro 512G,144,2728
淘金手机专营店,红米K20pro 512G,117,2698
掌视界数码旗舰店,荣耀10 128G,1954,1299
掌视界数码旗舰店,荣耀10 128G,7598,1199
掌视界数码旗舰店,荣耀10 128G,276,1199
vivo智美专卖店,vivou1u3z3z5xz5s1z1 32G,182,749
vivo智美专卖店,vivou1u3z3z5xz5s1z1 32G,72,769
vivo智美专卖店,vivou1u3z3z5xz5s1z1 32G,239,749
掌视界数码旗舰店,荣耀10 64G,1191,868
